Column1;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
1605;Male;0;No;No;65;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);1955;121865;No
1606;Male;1;Yes;Yes;72;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);1041;74477;No
1607;Male;1;Yes;No;13;Yes;No;Fiber optic;No;Yes;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);8905;116935;Yes
1608;Male;0;No;No;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;201;2795;No
1609;Male;0;Yes;No;51;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;11155;572035;No
1610;Male;0;Yes;Yes;51;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Two year;No;Credit card (automatic);605;312145;No
1611;Female;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);9095;64686;No
1612;Male;0;Yes;Yes;67;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;One year;No;Electronic check;874;59188;Yes
1613;Male;0;No;No;34;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;197;6756;No
1614;Male;0;Yes;No;67;No;No phone service;DSL;Yes;Yes;No;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);5095;35217;No
1615;Female;0;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);2005;9231;No
1616;Male;0;Yes;Yes;53;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;194;111035;No
1617;Male;0;No;No;27;Yes;Yes;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;5945;161165;No
1618;Female;1;No;No;23;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9475;22936;Yes
1619;Male;0;No;No;69;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Credit card (automatic);815;555325;No
1620;Female;0;Yes;Yes;2;No;No phone service;DSL;No;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);2905;4475;No
1621;Female;0;No;No;35;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8645;30291;Yes
1622;Female;0;Yes;No;46;Yes;No;DSL;Yes;Yes;No;Yes;No;Yes;One year;No;Mailed check;706;323105;No
1623;Female;0;No;No;54;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);972;512945;No
1624;Female;0;Yes;No;56;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;9825;550835;Yes
1625;Female;0;Yes;No;9;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);7575;6559;Yes
1626;Male;0;No;No;20;Yes;Yes;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);592;11912;No
1627;Male;0;No;No;11;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;759;8664;No
1628;Female;1;Yes;No;30;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;9005;26272;No
1629;Male;0;Yes;No;68;Yes;No;DSL;Yes;Yes;Yes;No;No;Yes;Two year;No;Bank transfer (automatic);7095;474145;No
1630;Male;1;Yes;No;38;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;1026;40092;No
1631;Female;1;Yes;No;17;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);8535;146345;Yes
1632;Male;0;No;No;48;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);1061;50828;Yes
1633;Female;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;438;438;No
1634;Male;0;Yes;Yes;63;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Two year;No;Electronic check;590;37076;No
1635;Female;0;No;No;3;Yes;No;DSL;No;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;6995;22045;No
1636;Female;0;No;No;48;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);2435;11337;No
1637;Male;0;No;No;66;No;No phone service;DSL;No;No;No;Yes;No;No;One year;No;Credit card (automatic);2945;198315;No
1638;Female;0;Yes;Yes;68;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Two year;Yes;Credit card (automatic);844;574675;No
1639;Male;1;No;No;17;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;4505;7706;Yes
1640;Female;0;Yes;Yes;7;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;2065;13405;No
1641;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);871;62301;No
1642;Female;0;Yes;No;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;1985;57305;No
1643;Male;0;Yes;No;37;Yes;No;Fiber optic;No;No;Yes;Yes;No;Yes;Month-to-month;Yes;Electronic check;9035;34193;No
1644;Female;0;No;No;34;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Mailed check;1098;358725;Yes
1645;Female;1;No;No;42;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8465;354135;Yes
1646;Female;0;Yes;Yes;59;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;No;Mailed check;655;38013;No
1647;Male;0;Yes;Yes;11;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);795;8685;Yes
1648;Male;1;Yes;Yes;60;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;8095;48591;No
1649;Female;0;No;No;27;Yes;No;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;5615;143935;No
1650;Female;0;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Mailed check;858;858;Yes
1651;Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;791;791;Yes
1652;Male;0;Yes;No;17;No;No phone service;DSL;Yes;No;Yes;No;No;No;Month-to-month;No;Mailed check;344;59275;No
1653;Male;0;Yes;No;58;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;2075;118595;No
1654;Male;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;188;188;No
1655;Female;0;Yes;Yes;3;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;443;1345;Yes
1656;Female;0;No;No;53;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;No;Electronic check;908;49212;No
1657;Male;0;No;No;35;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;256;90125;No
1658;Male;0;Yes;Yes;50;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;No;Credit card (automatic);10595;53418;Yes
1659;Male;0;Yes;Yes;68;Yes;Yes;DSL;No;Yes;No;Yes;No;Yes;Two year;No;Credit card (automatic);708;485995;No
1660;Male;0;Yes;No;47;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;254;11392;No
1661;Female;1;Yes;No;65;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);1088;708245;No
1662;Male;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;6975;3246;Yes
1663;Male;0;Yes;No;51;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9465;481275;Yes
1664;Female;0;No;No;46;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);9605;43995;Yes
1665;Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;7685;66355;No
1666;Female;0;No;No;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;2025;17465;No
1667;Male;0;No;No;14;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);248;3217;No
1668;Female;0;No;No;45;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;11565;51255;No
1669;Female;0;No;No;8;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);746;5489;No
1670;Male;1;No;Yes;1;Yes;No;DSL;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;5015;5015;Yes
1671;Male;0;Yes;Yes;66;Yes;No;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);10315;70313;No
1672;Male;0;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Credit card (automatic);721;501665;No
1673;Female;0;Yes;No;41;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);1136;459495;Yes
1674;Female;0;Yes;Yes;23;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;251;61145;No
1675;Female;0;No;No;29;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;789;238415;Yes
1676;Female;0;No;No;4;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;8015;31985;No
1677;Male;0;Yes;Yes;6;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;254;1533;No
1678;Female;1;Yes;No;67;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);1054;70356;No
1679;Male;1;No;Yes;7;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;4575;3442;No
1680;Male;0;Yes;Yes;56;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;2445;143165;No
1681;Female;0;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);250;18492;No
1682;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;8525;60831;No
1683;Male;0;Yes;Yes;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);196;42665;No
1684;Female;0;No;Yes;35;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;5015;165535;No
1685;Male;1;Yes;No;27;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;7055;19439;No
1686;Female;0;Yes;Yes;26;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;6005;161615;Yes
1687;Male;0;Yes;Yes;12;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;264;31495;No
1688;Female;0;No;No;40;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;2015;80485;No
1689;Male;0;Yes;Yes;7;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;No;Mailed check;5885;4657;No
1690;Male;0;Yes;Yes;70;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);9755;666905;No
1691;Male;0;Yes;Yes;60;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);1965;116175;No
1692;Male;0;Yes;Yes;39;No;No phone service;DSL;No;No;No;No;No;No;One year;Yes;Credit card (automatic);2525;94775;No
1693;Male;0;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);11445;837505;No
1694;Female;0;No;No;1;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;347;347;Yes
1695;Male;0;Yes;Yes;54;Yes;Yes;DSL;No;Yes;No;Yes;Yes;No;One year;Yes;Electronic check;707;37700;No
1696;Male;0;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;853;2648;Yes
1697;Female;0;Yes;Yes;63;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;No;Credit card (automatic);7555;470785;No
1698;Male;0;Yes;Yes;71;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Two year;Yes;Electronic check;848;61524;No
1699;Female;0;No;No;42;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;2065;9581;No
1700;Male;0;No;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);2045;9430;No
1701;Female;0;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);10245;661515;Yes
1702;Female;0;Yes;No;21;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);1044;220025;Yes
1703;Male;0;No;No;11;No;No phone service;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;3565;4251;No
1704;Male;0;No;Yes;1;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;9975;9975;Yes
1705;Female;1;Yes;No;55;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;No;No;Month-to-month;No;Electronic check;9045;50448;No
1706;Male;0;No;No;69;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);9765;674355;No
1707;Female;1;No;No;3;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;7385;1964;No
1708;Male;0;No;No;4;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;744;2997;Yes
1709;Male;1;No;No;30;Yes;Yes;DSL;No;No;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);691;20939;No
1710;Female;0;No;No;5;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Electronic check;8275;41775;No
1711;Female;0;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);244;17254;No
1712;Female;0;No;No;29;Yes;Yes;DSL;No;Yes;No;No;No;No;One year;Yes;Electronic check;5525;16202;No
1713;Male;0;Yes;No;52;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);6135;316955;No
1714;Male;0;No;No;68;Yes;Yes;DSL;Yes;Yes;Yes;No;No;Yes;One year;No;Credit card (automatic);7675;523325;No
1715;Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;194;96785;No
1716;Male;0;No;No;8;Yes;No;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);5475;43805;No
1717;Male;0;Yes;No;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);197;14219;No
1718;Female;0;No;No;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);199;32315;No
1719;Male;0;No;No;3;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;10795;3186;No
1720;Female;1;No;No;2;Yes;No;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);838;1637;No
1721;Female;0;No;No;9;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);7425;63965;Yes
1722;Female;0;No;No;51;No;No phone service;DSL;No;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);564;29285;No
1723;Female;0;Yes;Yes;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;201;10035;No
1724;Female;0;Yes;No;3;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;949;2732;No
1725;Female;1;No;No;17;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;942;160815;No
1726;Male;0;Yes;No;30;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;499;144195;No
1727;Male;0;No;No;31;Yes;Yes;DSL;No;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;7105;216815;No
1728;Female;0;No;No;45;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);8165;36187;No
1729;Male;0;Yes;No;64;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;No;One year;No;Bank transfer (automatic);8945;569265;No
1730;Male;0;No;No;1;Yes;Yes;DSL;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;5985;5985;Yes
1731;Female;1;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;696;696;Yes
1732;Male;1;Yes;Yes;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Electronic check;990;59693;No
1733;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;1905;1905;No
1734;Male;0;No;No;9;No;No phone service;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;454;4188;Yes
1735;Male;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);11445;810055;No
1736;Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;195;195;Yes
1737;Female;0;Yes;No;7;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;4425;31345;No
1738;Female;0;Yes;No;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;No;No;One year;Yes;Bank transfer (automatic);9055;613095;No
1739;Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;699;699;Yes
1740;Male;0;Yes;Yes;40;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);204;7453;No
1741;Male;0;No;No;16;Yes;Yes;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);714;12121;No
1742;Female;0;No;No;2;Yes;No;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);8715;18375;Yes
1743;Male;0;Yes;No;67;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);2485;15835;No
1744;Female;0;Yes;No;41;Yes;No;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);10445;416205;No
1745;Female;0;Yes;Yes;56;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);198;11199;No
1746;Female;0;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);11645;801355;No
1747;Female;0;Yes;Yes;3;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);8475;26485;Yes
1748;Female;0;Yes;No;54;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);2005;11024;No
1749;Male;1;No;No;52;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;11075;58320;No
1750;Female;0;No;No;50;Yes;No;Fiber optic;No;No;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);897;43045;No
1751;Male;0;No;No;14;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;8995;11784;Yes
1752;Male;0;Yes;No;27;Yes;No;DSL;Yes;No;No;No;No;No;One year;No;Credit card (automatic);487;142175;No
1753;Female;1;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Bank transfer (automatic);966;68275;No
1754;Male;0;No;No;62;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Credit card (automatic);743;469805;No
1755;Female;0;No;No;12;Yes;No;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;543;6545;No
1756;Female;1;No;No;44;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);7485;326805;No
1757;Male;0;Yes;Yes;54;Yes;No;Fiber optic;No;Yes;No;Yes;No;No;Two year;Yes;Bank transfer (automatic);7995;436205;No
1758;Female;0;No;No;68;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);2005;13869;No
1759;Male;0;No;No;20;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;194;4154;No
1760;Male;0;Yes;Yes;50;Yes;Yes;DSL;No;No;Yes;No;No;No;One year;No;Bank transfer (automatic);549;26141;No
1761;Male;0;No;No;58;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);2445;15136;No
1762;Male;0;Yes;Yes;35;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);8965;31616;No
1763;Female;0;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;454;8095;No
1764;Male;0;Yes;Yes;63;Yes;Yes;DSL;Yes;No;Yes;Yes;No;Yes;Two year;No;Mailed check;757;46767;No
1765;Female;0;Yes;No;58;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);11065;652665;No
1766;Female;0;Yes;Yes;27;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;2055;5833;No
1767;Female;0;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);11515;80781;No
1768;Female;0;No;No;63;Yes;No;DSL;No;No;Yes;No;No;Yes;One year;No;Credit card (automatic);5855;35035;No
1769;Male;0;Yes;No;71;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);9325;666945;No
1770;Female;1;No;No;41;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;1132;46895;Yes
1771;Male;1;No;No;13;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;905;120115;Yes
1772;Male;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Electronic check;790;14365;Yes
1773;Female;0;Yes;Yes;68;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);1935;129265;No
1774;Male;0;Yes;Yes;1;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;4875;4875;No
1775;Male;1;No;No;65;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;10905;71082;No
1776;Male;1;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);250;180255;No
1777;Female;0;No;No;28;Yes;Yes;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);549;150515;No
1778;Male;0;Yes;Yes;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);2475;18591;No
1779;Female;0;No;No;2;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;9115;1685;No
1780;Female;0;No;Yes;18;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);2015;39085;Yes
1781;Male;1;Yes;No;60;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;10435;633945;No
1782;Female;1;No;No;26;Yes;Yes;DSL;No;No;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;6605;16524;No
1783;Male;0;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;7165;7165;Yes
1784;Female;0;No;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2035;775;Yes
1785;Male;0;Yes;Yes;68;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);922;639285;No
1786;Female;0;No;No;38;Yes;No;Fiber optic;No;Yes;Yes;Yes;No;No;Month-to-month;Yes;Credit card (automatic);8425;32645;Yes
1787;Female;1;Yes;No;42;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);1052;459915;No
1788;Female;0;Yes;No;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);196;113425;No
1789;Male;0;Yes;No;54;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;304;162135;No
1790;Female;0;No;No;12;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);781;9473;Yes
1791;Female;0;Yes;No;44;Yes;No;DSL;Yes;Yes;Yes;No;No;No;One year;Yes;Mailed check;615;27222;No
1792;Male;0;Yes;Yes;42;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);694;30583;No
1793;Male;0;Yes;Yes;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);2475;17696;No
1794;Female;0;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;9105;629375;No
1795;Female;0;Yes;No;19;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;No;Mailed check;8965;176105;Yes
